,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z
3175,2996.389892578125,-1563.300048828125,1239.1600341796875,-8352.19970703125,-9782.60009765625,2838.5000610351562,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6034995083959724,-0.9451662423839766,-1.9359919245404766
3176,2968.570068359375,-1595.8900146484375,1248.1600341796875,-8343.400268554688,-9772.60009765625,2618.900146484375,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5987607207451184,-1.0558622901538124,-1.9341788594626401
3177,2940.77001953125,-1628.449951171875,1256.43994140625,-8334.600219726562,-9762.60009765625,2399.499969482422,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5938906088060771,-1.16619944592737,-1.9330120280224776
3178,2913.010009765625,-1660.969970703125,1263.97998046875,-8325.800170898438,-9752.60009765625,2180.2999877929688,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5889354559458494,-1.2761534940345842,-1.9324983461979317
3179,2885.280029296875,-1693.4599609375,1270.7900390625,-8317.000122070312,-9742.60009765625,1961.3999938964844,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5839753601279492,-1.385739527091708,-1.9326548581353418
3180,2857.570068359375,-1725.9100341796875,1276.8699951171875,-8308.400268554688,-9732.60009765625,1742.5999450683594,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5790575962690858,-1.494966944726107,-1.9334570290888207
3181,2829.889892578125,-1758.3299560546875,1282.22998046875,-8300.0,-9722.60009765625,1524.1999816894531,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5742384258432873,-1.6038647038249545,-1.9348728082337434
3182,2788.429931640625,-1806.9000244140625,1288.8900146484375,-8287.39990234375,-9707.60009765625,1196.8000030517578,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5673050459949366,-1.766601231371093,-1.9381388240017436
3183,2760.830078125,-1839.239990234375,1292.4300537109375,-8279.000244140625,-9697.60009765625,978.7999725341797,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5629853384236172,-1.8747215529351096,-1.9410324419583858
3184,2733.25,-1871.550048828125,1295.22998046875,-8270.599975585938,-9687.60009765625,761.1000061035156,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5589303071355527,-1.9825742696684896,-1.9444583332064136
3185,2705.68994140625,-1903.8199462890625,1297.31005859375,-8262.19970703125,-9677.60009765625,543.4999847412109,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5552337167812693,-2.0901882606070625,-1.948367207337701
3186,2678.169921875,-1936.06005859375,1298.6700439453125,-8253.800048828125,-9667.60009765625,326.30001068115234,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5519135544187933,-2.1975781398932055,-1.952701100278406
3187,2650.679931640625,-1968.260009765625,1299.31005859375,-8245.399780273438,-9657.60009765625,109.20000076293945,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5489926821794258,-2.3047822179976984,-1.9574268266982922
3188,2623.2099609375,-2000.4300537109375,1299.22998046875,-8237.000122070312,-9647.60009765625,-107.39999771118164,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.546521940154667,-2.4118200572439457,-1.9624818881576256
3189,2575.2099609375,-2056.659912109375,1297.3599853515625,-8222.2998046875,-9630.10009765625,-485.8000183105469,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5433621025669904,-2.598833978838915,-1.971953775453784
3190,2547.820068359375,-2088.739990234375,1295.300048828125,-8213.900146484375,-9620.10009765625,-701.8000030517578,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5422477357811061,-2.7055673233269086,-1.9776133649524372
3191,2506.7900390625,-2136.860107421875,1290.989990234375,-8209.500122070312,-9644.099731445312,-942.6999664306641,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5415540374295589,-2.8656204666205154,-1.9862572442447632
3192,2479.239990234375,-2169.18994140625,1287.760009765625,-8291.699829101562,-9723.800048828125,-994.1000366210938,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5417704399103137,-2.972310898829617,-1.9920360120768423
3193,2451.580078125,-2201.639892578125,1284.239990234375,-8300.999755859375,-9741.500244140625,-1086.2000274658203,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.54249981529611,-3.0790286567946796,-1.9977715247488497
3194,2437.739990234375,-2217.889892578125,1282.3800048828125,-8307.5,-9751.599731445312,-1132.699966430664,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.543061465092949,-3.1323968432760685,-2.0006062213772267
3195,2410.010009765625,-2250.43994140625,1278.4100341796875,-8322.7001953125,-9766.799926757812,-1241.6999816894531,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5445775752673427,3.043969261453137,-2.0061270850816277
3196,2382.239990234375,-2282.989990234375,1273.9300537109375,-8332.39990234375,-9759.600219726562,-1410.5000305175781,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5465840361716003,2.937050767250036,-2.0114529613749377
3197,2340.6201171875,-2331.739990234375,1265.93994140625,-8319.199829101562,-9744.600219726562,-1732.8999328613281,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5504771086307816,2.776446617641852,-2.0189129314825474
3198,2299.06005859375,-2380.419921875,1256.3399658203125,-8306.300048828125,-9729.600219726562,-2054.7999572753906,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5553423700362885,2.6154322502961995,-2.0255415553725853
3199,2271.389892578125,-2412.830078125,1249.0400390625,-8297.899780273438,-9719.600219726562,-2269.199981689453,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5590563756407682,2.5078123606892,-2.02942564507189
3200,2243.75,-2445.2099609375,1241.030029296875,-8289.500122070312,-9709.600219726562,-2483.300018310547,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5630919432747917,2.3999617634295882,-2.032832400908775
3201,2229.93994140625,-2461.389892578125,1236.760009765625,-8285.30029296875,-9704.600219726562,-2590.2999877929688,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5652239026115098,2.3459331746411958,-2.034349203724839
3202,2188.550048828125,-2509.8701171875,1222.8699951171875,-8272.7001953125,-9689.600219726562,-2910.8999633789062,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5720117225345487,2.1834112110921065,-2.0380339531319196
3203,2160.989990234375,-2542.14990234375,1212.72998046875,-8264.299926757812,-9679.600219726562,-3124.4000244140625,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5767517557110233,2.0746779651372735,-2.0397494553332676
