,ping,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,ball_cam,boost,boost_active,jump_active,dodge_active,double_jump_active
2434,10.0,-2785.5400390625,1838.9100341796875,16.989999771118164,-14632.80029296875,16362.900390625,4.799999892711639,1.7000000178813934,-2.0999999344348907,1630.2999877929688,255.0,208.0,,0.009574485161478135,2.348646045897873,0.0001967833773762511,True,133.0,False,18,18,False
2435,10.0,-2785.5400390625,1838.9100341796875,16.989999771118164,-14632.80029296875,16362.900390625,4.799999892711639,1.7000000178813934,-2.0999999344348907,1630.2999877929688,255.0,208.0,,0.009574485161478135,2.348646045897873,0.0001967833773762511,True,133.0,False,18,18,False
2436,10.0,-2913.2900390625,1969.199951171875,16.989999771118164,-15834.200439453125,15086.600341796875,4.600000083446503,1.0000000149011612,-0.9000000357627869,385.09998321533203,255.0,121.0,,0.009594011704169217,2.4174100114702273,-0.00012088961896864518,True,133.0,False,18,18,False
2437,10.0,-2913.2900390625,1969.199951171875,16.989999771118164,-15834.200439453125,15086.600341796875,4.600000083446503,1.0000000149011612,-0.9000000357627869,385.09998321533203,255.0,121.0,,0.009594011704169217,2.4174100114702273,-0.00012088961896864518,True,133.0,False,18,18,False
2438,10.0,-2913.2900390625,1969.199951171875,16.989999771118164,-15834.200439453125,15086.600341796875,4.600000083446503,1.0000000149011612,-0.9000000357627869,385.09998321533203,255.0,121.0,,0.009594011704169217,2.4174100114702273,-0.00012088961896864518,True,133.0,False,18,18,False
2439,10.0,-3048.050048828125,2091.7099609375,16.989999771118164,-16348.800048828125,14499.100341796875,4.600000083446503,-0.5000000074505806,0.29999999329447746,-38.59999895095825,255.0,115.0,,0.009589486451845704,2.4268626468561667,-0.0001197501933078614,True,133.0,False,18,18,False
2440,10.0,-3048.050048828125,2091.7099609375,16.989999771118164,-16348.800048828125,14499.100341796875,4.600000083446503,-0.5000000074505806,0.29999999329447746,-38.59999895095825,255.0,115.0,,0.009589486451845704,2.4268626468561667,-0.0001197501933078614,True,133.0,False,18,18,False
2441,10.0,-3212.389892578125,2235.7099609375,16.989999771118164,-16489.49951171875,14335.6005859375,4.600000083446503,-0.7999999821186066,1.0999999940395355,112.60000228881836,255.0,158.0,,0.00963099945448182,2.4260337026034584,-1.2553321406000225e-05,True,133.0,False,18,18,False
2442,10.0,-3212.389892578125,2235.7099609375,16.989999771118164,-16489.49951171875,14335.6005859375,4.600000083446503,-0.7999999821186066,1.0999999940395355,112.60000228881836,255.0,158.0,,0.00963099945448182,2.4260337026034584,-1.2553321406000225e-05,True,133.0,False,18,18,False
2443,10.0,-3212.389892578125,2235.7099609375,16.989999771118164,-16489.49951171875,14335.6005859375,4.600000083446503,-0.7999999821186066,1.0999999940395355,112.60000228881836,255.0,158.0,,0.00963099945448182,2.4260337026034584,-1.2553321406000225e-05,True,133.0,False,18,18,False
2444,10.0,-3338.139892578125,2340.52001953125,16.989999771118164,-17069.89990234375,13570.50048828125,4.699999988079071,-0.5999999865889549,0.9000000357627869,1329.1000366210938,255.0,251.0,,0.009612350720958479,2.490373973606713,0.00018810167302174067,True,133.0,False,18,18,False
2445,10.0,-3338.139892578125,2340.52001953125,16.989999771118164,-17069.89990234375,13570.50048828125,4.699999988079071,-0.5999999865889549,0.9000000357627869,1329.1000366210938,255.0,251.0,,0.009612350720958479,2.490373973606713,0.00018810167302174067,True,133.0,False,18,18,False
2446,10.0,-3500.530029296875,2455.969970703125,16.989999771118164,-18216.99951171875,11784.100341796875,4.699999988079071,4.000000059604645,-2.3000000417232513,893.3000183105469,255.0,128.0,,0.009601382961771111,2.618021188532016,2.191305487408093e-06,True,164.0,False,18,18,False
